SampleID	Insertions	POP
NA20322	14	ASW
NA20332	14	ASW
NA20333	0	ASW
NA20334	9	ASW
NA20335	0	ASW
NA20336	7	ASW
NA20337	0	ASW
NA20339	13	ASW
NA20340	11	ASW
NA20341	8	ASW
NA20342	12	ASW
NA20343	0	ASW
NA20344	11	ASW
NA20345	0	ASW
NA20346	11	ASW
NA20347	0	ASW
NA20348	10	ASW
NA20349	0	ASW
NA20350	0	ASW
NA20351	10	ASW
NA20355	11	ASW
NA20356	9	ASW
NA20357	9	ASW
NA20358	0	ASW
NA20359	12	ASW
NA20360	0	ASW
NA20361	0	ASW
NA20362	11	ASW
NA20363	0	ASW
NA20364	0	ASW
NA20412	12	ASW
NA20413	0	ASW
NA20414	0	ASW
NA19625	9	ASW
HG00171	10	FIN
HG00173	9	FIN
HG00174	11	FIN
HG00176	9	FIN
HG00177	9	FIN
HG00178	12	FIN
HG00179	10	FIN
HG00180	9	FIN
HG00181	10	FIN
HG00182	12	FIN
HG00183	12	FIN
HG00185	11	FIN
HG00186	10	FIN
HG00187	9	FIN
HG00188	10	FIN
HG00189	10	FIN
HG00190	10	FIN
HG00266	11	FIN
HG00267	8	FIN
HG00268	10	FIN
HG00269	12	FIN
HG00270	0	FIN
HG00271	8	FIN
HG00272	11	FIN
HG00273	11	FIN
HG00274	8	FIN
HG00275	11	FIN
HG00276	11	FIN
HG00277	11	FIN
